#Piano
1,00,AcousticPiano,アコースティックピアノ
2,01,BrightPiano,ブライトピアノ
3,02,ElectricGrandPiano,エレクトリック・グランドピアノ
4,03,Honky-tonkPiano,ホンキートンクピアノ
5,04,ElectricPiano,エレクトリックピアノ
6,05,ElectricPiano2,FMエレクトリックピアノ
7,06,Harpsichord,ハープシコード
8,07,Clavi,クラビネット
#ChromaticPercussion
9,08,Celesta,チェレスタ
10,09,Glockenspiel,グロッケンシュピール
11,0A,Musicbox,オルゴール
12,0B,Vibraphone,ヴィブラフォン
13,0C,Marimba,マリンバ
14,0D,Xylophone,シロフォン
15,0E,TubularBell,チューブラーベル
16,0F,Dulcimer,ダルシマー
#Organ
17,10,DrawbarOrgan,ドローバーオルガン
18,11,PercussiveOrgan,パーカッシブオルガン
19,12,RockOrgan,ロックオルガン
20,13,Churchorgan,チャーチオルガン
21,14,Reedorgan,リードオルガン
22,15,Accordion,アコーディオン
23,16,Harmonica,ハーモニカ
24,17,TangoAccordion,タンゴアコーディオン
#Guitar
25,18,AcousticGuitar(nylon),アコースティックギター（ナイロン弦）
26,19,AcousticGuitar(steel),アコースティックギター（スチール弦）
27,1A,ElectricGuitar(jazz),ジャズギター
28,1B,ElectricGuitar(clean),クリーンギター
29,1C,ElectricGuitar(muted),ミュートギター
30,1D,OverdrivenGuitar,オーバードライブギター
31,1E,DistortionGuitar,ディストーションギター
32,1F,Guitarharmonics,ギターハーモニクス
#Bass
33,20,AcousticBass,アコースティックベース
34,21,ElectricBass(finger),フィンガー・ベース
35,22,ElectricBass(pick),ピック・ベース
36,23,FretlessBass,フレットレスベース
37,24,SlapBass1,スラップベース1
38,25,SlapBass2,スラップベース2
39,26,SynthBass1,シンセベース1
40,27,SynthBass2,シンセベース2
#Strings
41,28,Violin,ヴァイオリン
42,29,Viola,ヴィオラ
43,2A,Cello,チェロ
44,2B,Doublebass,コントラバス
45,2C,TremoloStrings,トレモロ
46,2D,PizzicatoStrings,ピッチカート
47,2E,OrchestralHarp,ハープ
48,2F,Timpani,ティンパニ
#Ensemble
49,30,StringEnsemble1,ストリングアンサンブル
50,31,StringEnsemble2,スローストリングアンサンブル
51,32,SynthStrings1,シンセストリングス
52,33,SynthStrings2,シンセストリングス2
53,34,VoiceAahs,声「アー」
54,35,VoiceOohs,声「ドゥー」
55,36,SynthVoice,シンセヴォイス
56,37,OrchestraHit,オーケストラヒット
#Brass
57,38,Trumpet,トランペット
58,39,Trombone,トロンボーン
59,3A,Tuba,チューバ
60,3B,MutedTrumpet,ミュートトランペット
61,3C,Frenchhorn,フレンチ・ホルン
62,3D,BrassSection,ブラスセクション
63,3E,SynthBrass1,シンセブラス1
64,3F,SynthBrass2,シンセブラス2
#Reed
65,40,SopranoSax,ソプラノサックス
66,41,AltoSax,アルトサックス
67,42,TenorSax,テナーサックス
68,43,BaritoneSax,バリトンサックス
69,44,Oboe,オーボエ
70,45,EnglishHorn,イングリッシュホルン
71,46,Bassoon,ファゴット
72,47,Clarinet,クラリネット
#Pipe
73,48,Piccolo,ピッコロ
74,49,Flute,フルート
75,4A,Recorder,リコーダー
76,4B,PanFlute,パンフルート
77,4C,BlownBottle,ブロウンボトル（吹きガラス瓶）
78,4D,Shakuhachi,尺八
79,4E,Whistle,口笛
80,4F,Ocarina,オカリナ
#SynthLead
81,50,Lead1(square),正方波
82,51,Lead2(sawtooth),ノコギリ波
83,52,Lead3(calliope),カリオペリード
84,53,Lead4(chiff),チフリード
85,54,Lead5(charang),チャランゴリード
86,55,Lead6(voice),声リード
87,56,Lead7(fifths),フィフスズリード
88,57,Lead8(bass+lead),ベース+リード
#SynthPad
89,58,Pad1(Fantasia),ファンタジア
90,59,Pad2(warm),ウォーム
91,5A,Pad3(polysynth),ポリシンセ
92,5B,Pad4(choir),クワイア
93,5C,Pad5(bowed),ボウ
94,5D,Pad6(metallic),メタリック
95,5E,Pad7(halo),ハロー
96,5F,Pad8(sweep),スウィープ
#SynthEffects
97,60,FX1(rain),雨
98,61,FX2(soundtrack),サウンドトラック
99,62,FX3(crystal),クリスタル
100,63,FX4(atmosphere),アトモスフィア
101,64,FX5(brightness),ブライトネス
102,65,FX6(goblins),ゴブリン
103,66,FX7(echoes),エコー[要曖昧さ回避]
104,67,FX8(sci-fi),サイファイ
#Ethnic
105,68,Sitar,シタール
106,69,Banjo,バンジョー
107,6A,Shamisen,三味線
108,6B,Koto,琴
109,6C,Kalimba,カリンバ
110,6D,Bagpipe,バグパイプ
111,6E,Fiddle,フィドル
112,6F,Shanai,シャハナーイ
#Percussive
113,70,TinkleBell,ティンクルベル
114,71,Agogo,アゴゴ
115,72,SteelDrums,スチールドラム
116,73,Woodblock,ウッドブロック
117,74,TaikoDrum,太鼓
118,75,MelodicTom,メロディックタム
119,76,SynthDrum,シンセドラム
120,77,ReverseCymbal,逆シンバル
#Soundeffects
121,78,GuitarFretNoise,ギターフレットノイズ
122,79,BreathNoise,ブレスノイズ
123,7A,Seashore,海岸
124,7B,BirdTweet,鳥の囀り
125,7C,TelephoneRing,電話のベル
126,7D,Helicopter,ヘリコプター
127,7E,Applause,拍手
128,7F,Gunshot,銃声
